epoch,acc,loss,val_acc,val_loss
0,0.692253521294661,0.6140876291503369,0.5682382135474061,2.0358393535424697
1,0.748591549463675,0.5229192772381742,0.5607940448129147,1.6852395007983034
2,0.7598591547616771,0.4865057623722184,0.5136476420882914,1.6204068506917646
3,0.7788732394366197,0.475689788267646,0.5434243177657684,1.2115687779693982
4,0.7471830984236489,0.491993106838683,0.6848635223899823,0.9041954465302877
5,0.7612676054659024,0.47055962572635057,0.5607940451826706,0.822965892017923
6,0.7845070424214216,0.4535951364208275,0.6352357328973396,0.9813388046200755
7,0.7753521127600066,0.4750839905000069,0.697270471981678,1.1529521909600156
8,0.7901408449025221,0.4564865056897553,0.6029776676416989,1.2024411161247612
9,0.8,0.4477689481117356,0.6799007442689711,0.9513885937908447
10,0.7894366198862103,0.4473477944521837,0.6774193557261238,0.8480819759534547
11,0.8211267605633803,0.398244924528498,0.6501240703663222,0.6403442838647525
12,0.8154929575785784,0.4190405786037445,0.6898263015463098,0.6282985927745072
13,0.8450704225352113,0.36229219283436387,0.697270472795141,0.8712399686240676
14,0.8450704227031117,0.3511226649855224,0.6923076911244735,0.7643783107289014
15,0.8563380283369145,0.34340240611156947,0.6749379640773272,0.7295861167292441
16,0.8774647887323944,0.3172898346269634,0.6799007450084829,0.9784565393445509
17,0.8732394366197183,0.3150934291977278,0.7071960293329679,0.9708961446586969
18,0.8802816901408451,0.2950112673598276,0.6774193554303191,0.9251283735554509
19,0.8957746477194235,0.26099135455950884,0.6401985116839113,0.8943996065603592
20,0.8859154931256469,0.29664217905259466,0.6426799001528075,0.8976207962698736
21,0.9000000001679004,0.27405117703995235,0.6923076921597899,1.1568815814650089
22,0.8880281690140845,0.2825464895913299,0.6600496286789773,1.0735185803018197
23,0.8999999998320996,0.26429530147095803,0.5210918123018061,1.7432860760179998
24,0.8943661971830986,0.2852348918646154,0.5558312655826361,1.6971661257684674
25,0.922535211435506,0.22459213750463136,0.6600496286789773,1.0581878471019546
26,0.9070422535211268,0.22477746572293025,0.684863524460615,0.8507237233240019
27,0.9070422533532263,0.23817183064742828,0.6650124075395002,1.0441265647523752
28,0.9126760561701278,0.23182176292782097,0.6873449137429741,1.3303008594228967
29,0.9126760563380282,0.21463767332090458,0.6774193536554909,1.3196265150240574
30,0.9133802816901408,0.2164500715027393,0.6600496276436609,1.1618357509300667
31,0.920422535379168,0.1995523083377892,0.620347395428357,1.441158870905268
32,0.9436619716630855,0.1667892187414035,0.6203473946888453,1.534653863007614
33,0.9373239434940714,0.16237572994030697,0.6451612912099947,1.501789650017807
34,0.9492957744799869,0.15248101966481814,0.6699751849209996,1.4213495742594338
35,0.8985915492957747,0.24687874686550088,0.6848635240908592,1.1433718393813292
36,0.9338028170693089,0.19068467096543648,0.6674937970437128,1.5329154774213842
37,0.9478873241115624,0.13085810710007037,0.6526054578738532,1.5321101802158592
38,0.9422535209588602,0.16265157998447688,0.6600496286789773,1.2098041204897405
39,0.9359154927898461,0.1687471246215659,0.6749379640773272,1.2339654273489864
40,0.9492957746478873,0.15049969462389257,0.6625310161865083,1.331804004851405
41,0.9577464790411399,0.12082826528750674,0.6699751869916324,1.3106350212475797
42,0.9528169012405503,0.14589357040297818,0.6575682383613018,1.1826403004951571
43,0.9302816899729447,0.18722676290592677,0.6774193546908074,0.9481530745626975
44,0.9542253519447756,0.12330357650635948,0.6972704702808011,1.010712134631041
45,0.9556338029848018,0.12042441922174373,0.684863524460615,1.3849966313052118
46,0.9457746480552244,0.14773904807131055,0.6575682383613018,1.7284317631875314
47,0.9739436621397314,0.07791470952436957,0.6600496286789773,1.3339741123521298
48,0.969718309859155,0.07470532957936676,0.6774193553563679,1.3404090599741592
49,0.9633802818580413,0.11534395226290528,0.6923076911244735,2.000999904447986
